model,type,blok,metric,score
MLR,train,Blok1,R2,0.213144218944887
MLR,train,Blok1,MAE,1509.17414666263
MLR,train,Blok1,RMSE,1886.79179298621
MLR,train,Blok1,MAPE,0.28393990880833
MLR,train,Blok1,RMSPE,0.450020175036424
MLR,test,Blok1,R2,0.217252326318261
MLR,test,Blok1,MAE,1481.47984052159
MLR,test,Blok1,RMSE,1899.53765709033
MLR,test,Blok1,MAPE,0.274598417121779
MLR,test,Blok1,RMSPE,0.430172375656737
MLR,train,Blok2,R2,0.200373001985463
MLR,train,Blok2,MAE,1497.78205233617
MLR,train,Blok2,RMSE,1889.55286677404
MLR,train,Blok2,MAPE,0.2825486707902
MLR,train,Blok2,RMSPE,0.471164586715338
MLR,test,Blok2,R2,0.189326059876489
MLR,test,Blok2,MAE,1497.37373321838
MLR,test,Blok2,RMSE,1902.92761769353
MLR,test,Blok2,MAPE,0.277393094412706
MLR,test,Blok2,RMSPE,0.427668962322656
MLR,train,Blok3,R2,0.201457601132092
MLR,train,Blok3,MAE,1485.68017269121
MLR,train,Blok3,RMSE,1871.33624692729
MLR,train,Blok3,MAPE,0.266917747277853
MLR,train,Blok3,RMSPE,0.395011494383971
MLR,test,Blok3,R2,0.205033223895152
MLR,test,Blok3,MAE,1459.73193359424
MLR,test,Blok3,RMSE,1824.26987860448
MLR,test,Blok3,MAPE,0.272151152237649
MLR,test,Blok3,RMSPE,0.430215963774885
MLR,train,Blok4,R2,0.18532183559418
MLR,train,Blok4,MAE,1503.13478231812
MLR,train,Blok4,RMSE,1896.1385228093
MLR,train,Blok4,MAPE,0.279909226092487
MLR,train,Blok4,RMSPE,0.456004179295645
MLR,test,Blok4,R2,0.204925196102209
MLR,test,Blok4,MAE,1502.24976331934
MLR,test,Blok4,RMSE,1898.93786074041
MLR,test,Blok4,MAPE,0.287854239208556
MLR,test,Blok4,RMSPE,0.518055420112313
MLR,train,Blok5,R2,0.228825136643119
MLR,train,Blok5,MAE,1458.91584519301
MLR,train,Blok5,RMSE,1841.36628458127
MLR,train,Blok5,MAPE,0.270294559647719
MLR,train,Blok5,RMSPE,0.423883439140713
MLR,test,Blok5,R2,0.202027873115683
MLR,test,Blok5,MAE,1520.33925762777
MLR,test,Blok5,RMSE,1913.19357429648
MLR,test,Blok5,MAPE,0.282558853160108
MLR,test,Blok5,RMSPE,0.441328068972698
DT,train,Blok1,R2,1
DT,train,Blok1,MAE,0
DT,train,Blok1,RMSE,0
DT,train,Blok1,MAPE,0
DT,train,Blok1,RMSPE,0
DT,test,Blok1,R2,-0.450177090592852
DT,test,Blok1,MAE,2062.17312438272
DT,test,Blok1,RMSE,2585.5178165427
DT,test,Blok1,MAPE,0.363801530093227
DT,test,Blok1,RMSPE,0.532764363210595
DT,train,Blok2,R2,1
DT,train,Blok2,MAE,0
DT,train,Blok2,RMSE,0
DT,train,Blok2,MAPE,0
DT,train,Blok2,RMSPE,0
DT,test,Blok2,R2,-0.529527196441489
DT,test,Blok2,MAE,2016.81495320969
DT,test,Blok2,RMSE,2613.83256704999
DT,test,Blok2,MAPE,0.358335351208154
DT,test,Blok2,RMSPE,0.560759120031521
DT,train,Blok3,R2,1
DT,train,Blok3,MAE,0
DT,train,Blok3,RMSE,0
DT,train,Blok3,MAPE,0
DT,train,Blok3,RMSPE,0
DT,test,Blok3,R2,-0.612105827235882
DT,test,Blok3,MAE,2058.31171537375
DT,test,Blok3,RMSE,2597.83385318956
DT,test,Blok3,MAPE,0.360327288901905
DT,test,Blok3,RMSPE,0.520849303477293
DT,train,Blok4,R2,1
DT,train,Blok4,MAE,0
DT,train,Blok4,RMSE,0
DT,train,Blok4,MAPE,0
DT,train,Blok4,RMSPE,0
DT,test,Blok4,R2,-0.589189174069855
DT,test,Blok4,MAE,2079.79719866705
DT,test,Blok4,RMSE,2684.69254620427
DT,test,Blok4,MAPE,0.378675220989275
DT,test,Blok4,RMSPE,0.699605683187197
DT,train,Blok5,R2,1
DT,train,Blok5,MAE,0
DT,train,Blok5,RMSE,0
DT,train,Blok5,MAPE,0
DT,train,Blok5,RMSPE,0
DT,test,Blok5,R2,-0.550854251979012
DT,test,Blok5,MAE,2061.40791067879
DT,test,Blok5,RMSE,2667.16906420544
DT,test,Blok5,MAPE,0.370034530586573
DT,test,Blok5,RMSPE,0.610146169031905
KNN,train,Blok1,R2,0.44261974535217
KNN,train,Blok1,MAE,1259.14503648785
KNN,train,Blok1,RMSE,1588.00621709177
KNN,train,Blok1,MAPE,0.232554047170155
KNN,train,Blok1,RMSPE,0.357524965337562
KNN,test,Blok1,R2,0.144889449832766
KNN,test,Blok1,MAE,1550.27490553504
KNN,test,Blok1,RMSE,1985.4005924696
KNN,test,Blok1,MAPE,0.283229745862004
KNN,test,Blok1,RMSPE,0.436438854770594
KNN,train,Blok2,R2,0.429155191172064
KNN,train,Blok2,MAE,1251.71210377583
KNN,train,Blok2,RMSE,1596.51995384623
KNN,train,Blok2,MAPE,0.230378427002872
KNN,train,Blok2,RMSPE,0.363130463237485
KNN,test,Blok2,R2,0.114017004615504
KNN,test,Blok2,MAE,1554.87581066502
KNN,test,Blok2,RMSE,1989.35301411368
KNN,test,Blok2,MAPE,0.287911331368805
KNN,test,Blok2,RMSPE,0.455524826471857
KNN,train,Blok3,R2,0.414081859383023
KNN,train,Blok3,MAE,1263.14398988517
KNN,train,Blok3,RMSE,1602.95493137397
KNN,train,Blok3,MAPE,0.224787788203906
KNN,train,Blok3,RMSPE,0.329817942555186
KNN,test,Blok3,R2,0.133861840935486
KNN,test,Blok3,MAE,1499.44025803753
KNN,test,Blok3,RMSE,1904.18081084839
KNN,test,Blok3,MAPE,0.276759368358488
KNN,test,Blok3,RMSPE,0.429347273573834
KNN,train,Blok4,R2,0.426443660190417
KNN,train,Blok4,MAE,1259.13109122342
KNN,train,Blok4,RMSE,1590.98126613974
KNN,train,Blok4,MAPE,0.228397262459335
KNN,train,Blok4,RMSPE,0.347472374388519
KNN,test,Blok4,R2,0.127444846596254
KNN,test,Blok4,MAE,1555.51903340533
KNN,test,Blok4,RMSE,1989.31337236279
KNN,test,Blok4,MAPE,0.292588381066459
KNN,test,Blok4,RMSPE,0.542031574676473
KNN,train,Blok5,R2,0.429034139764006
KNN,train,Blok5,MAE,1246.25383806711
KNN,train,Blok5,RMSE,1584.41456103106
KNN,train,Blok5,MAPE,0.224444453827415
KNN,train,Blok5,RMSPE,0.337397609420656
KNN,test,Blok5,R2,0.157880735026989
KNN,test,Blok5,MAE,1548.49671687563
KNN,test,Blok5,RMSE,1965.40408357704
KNN,test,Blok5,MAPE,0.285233519876528
KNN,test,Blok5,RMSPE,0.44391190723407
SVR,train,Blok1,R2,0.039460556439179
SVR,train,Blok1,MAE,1648.67669441877
SVR,train,Blok1,RMSE,2084.65412911796
SVR,train,Blok1,MAPE,0.329717473619262
SVR,train,Blok1,RMSPE,0.643653227495153
SVR,test,Blok1,R2,0.0386060078326597
SVR,test,Blok1,MAE,1654.39534935536
SVR,test,Blok1,RMSE,2105.17263842312
SVR,test,Blok1,MAPE,0.32099530181486
SVR,test,Blok1,RMSPE,0.593930277562836
SVR,train,Blok2,R2,0.0386178639161466
SVR,train,Blok2,MAE,1643.67616303429
SVR,train,Blok2,RMSE,2071.87403058029
SVR,train,Blok2,MAPE,0.324346924886032
SVR,train,Blok2,RMSPE,0.647358160326427
SVR,test,Blok2,R2,0.0338041540365434
SVR,test,Blok2,MAE,1642.38537439778
SVR,test,Blok2,RMSE,2077.45557738066
SVR,test,Blok2,MAPE,0.318513924916357
SVR,test,Blok2,RMSPE,0.56273075696513
SVR,train,Blok3,R2,0.0373340828253416
SVR,train,Blok3,MAE,1631.17542964502
SVR,train,Blok3,RMSE,2054.66317710701
SVR,train,Blok3,MAPE,0.304259577421283
SVR,train,Blok3,RMSPE,0.50386879052719
SVR,test,Blok3,R2,0.0411268766956664
SVR,test,Blok3,MAE,1593.59811088911
SVR,test,Blok3,RMSE,2003.52686824047
SVR,test,Blok3,MAPE,0.306731988008244
SVR,test,Blok3,RMSPE,0.57342236609973
SVR,train,Blok4,R2,0.0371777159242793
SVR,train,Blok4,MAE,1624.59106864152
SVR,train,Blok4,RMSE,2061.34218055669
SVR,train,Blok4,MAPE,0.313595659074785
SVR,train,Blok4,RMSPE,0.580493433434732
SVR,test,Blok4,R2,0.0360030206835408
SVR,test,Blok4,MAE,1642.39894422732
SVR,test,Blok4,RMSE,2090.95455829705
SVR,test,Blok4,MAPE,0.335403362949091
SVR,test,Blok4,RMSPE,0.70873813805034
SVR,train,Blok5,R2,0.0390260911994066
SVR,train,Blok5,MAE,1624.23709816529
SVR,train,Blok5,RMSE,2055.50980408493
SVR,train,Blok5,MAPE,0.322924817068327
SVR,train,Blok5,RMSPE,0.631125838603218
SVR,test,Blok5,R2,0.0330917343663898
SVR,test,Blok5,MAE,1663.93587480659
SVR,test,Blok5,RMSE,2105.99671348782
SVR,test,Blok5,MAPE,0.328891966842752
SVR,test,Blok5,RMSPE,0.622808679071029
RF,train,Blok1,R2,0.897157144355927
RF,train,Blok1,MAE,536.184895134641
RF,train,Blok1,RMSE,682.124223103921
RF,train,Blok1,MAPE,0.0992392535764508
RF,train,Blok1,RMSPE,0.154168737704314
RF,test,Blok1,R2,0.254756962962174
RF,test,Blok1,MAE,1454.72168519983
RF,test,Blok1,RMSE,1853.4717809815
RF,test,Blok1,MAPE,0.266220075004485
RF,test,Blok1,RMSPE,0.413772178617153
RF,train,Blok2,R2,0.894870600345419
RF,train,Blok2,MAE,534.561269982885
RF,train,Blok2,RMSE,685.136989502366
RF,train,Blok2,MAPE,0.0994716191163973
RF,train,Blok2,RMSPE,0.16215277193079
RF,test,Blok2,R2,0.225747702920672
RF,test,Blok2,MAE,1458.01251367788
RF,test,Blok2,RMSE,1859.68939390935
RF,test,Blok2,MAPE,0.2687325992217
RF,test,Blok2,RMSPE,0.412931983382585
RF,train,Blok3,R2,0.892681183894346
RF,train,Blok3,MAE,535.484913876512
RF,train,Blok3,RMSE,686.026317056855
RF,train,Blok3,MAPE,0.0953035470005013
RF,train,Blok3,RMSPE,0.141257316382601
RF,test,Blok3,R2,0.250984748925854
RF,test,Blok3,MAE,1407.70523584672
RF,test,Blok3,RMSE,1770.76091860238
RF,test,Blok3,MAPE,0.259006662341814
RF,test,Blok3,RMSPE,0.392968951980875
RF,train,Blok4,R2,0.893251286036979
RF,train,Blok4,MAE,538.172536296999
RF,train,Blok4,RMSE,686.370089039083
RF,train,Blok4,MAPE,0.0985515404697293
RF,train,Blok4,RMSPE,0.15454661809471
RF,test,Blok4,R2,0.252714067474725
RF,test,Blok4,MAE,1443.02614005115
RF,test,Blok4,RMSE,1840.98462502045
RF,test,Blok4,MAPE,0.270419457947388
RF,test,Blok4,RMSPE,0.487255381579235
RF,train,Blok5,R2,0.896986641607578
RF,train,Blok5,MAE,524.0094612924
RF,train,Blok5,RMSE,672.992969586421
RF,train,Blok5,MAPE,0.0946442606144875
RF,train,Blok5,RMSPE,0.144563224093498
RF,test,Blok5,R2,0.253416074795989
RF,test,Blok5,MAE,1454.22654514232
RF,test,Blok5,RMSE,1850.56511115036
RF,test,Blok5,MAPE,0.272089740772385
RF,test,Blok5,RMSPE,0.447468205444584
MLP,train,Blok1,R2,0.24469301736804
MLP,train,Blok1,MAE,1476.97853703578
MLP,train,Blok1,RMSE,1848.57960982891
MLP,train,Blok1,MAPE,0.273907904614623
MLP,train,Blok1,RMSPE,0.423534239844069
MLP,test,Blok1,R2,0.23681427463009
MLP,test,Blok1,MAE,1464.20468038934
MLP,test,Blok1,RMSE,1875.65143715076
MLP,test,Blok1,MAPE,0.269644887269789
MLP,test,Blok1,RMSPE,0.431496820249493
MLP,train,Blok2,R2,0.232019242458995
MLP,train,Blok2,MAE,1466.23158532541
MLP,train,Blok2,RMSE,1851.78470265861
MLP,train,Blok2,MAPE,0.272651853559059
MLP,train,Blok2,RMSPE,0.444224848011932
MLP,test,Blok2,R2,0.220844806964426
MLP,test,Blok2,MAE,1460.15798412541
MLP,test,Blok2,RMSE,1865.56827513163
MLP,test,Blok2,MAPE,0.267698104442209
MLP,test,Blok2,RMSPE,0.413558520063875
MLP,train,Blok3,R2,0.231199850029593
MLP,train,Blok3,MAE,1455.95893577701
MLP,train,Blok3,RMSE,1836.15597152413
MLP,train,Blok3,MAPE,0.259918841537776
MLP,train,Blok3,RMSPE,0.380329755987686
MLP,test,Blok3,R2,0.2375521117928
MLP,test,Blok3,MAE,1428.17145138086
MLP,test,Blok3,RMSE,1786.56853508777
MLP,test,Blok3,MAPE,0.262759732615003
MLP,test,Blok3,RMSPE,0.401987927126792
MLP,train,Blok4,R2,0.22090104357625
MLP,train,Blok4,MAE,1469.17395542104
MLP,train,Blok4,RMSE,1854.27154937173
MLP,train,Blok4,MAPE,0.27064670667459
MLP,train,Blok4,RMSPE,0.43169063622035
MLP,test,Blok4,R2,0.234367134928655
MLP,test,Blok4,MAE,1469.31665301796
MLP,test,Blok4,RMSE,1863.44698582779
MLP,test,Blok4,MAPE,0.277879215211959
MLP,test,Blok4,RMSPE,0.503402299366587
MLP,train,Blok5,R2,0.257600413809176
MLP,train,Blok5,MAE,1425.61677262429
MLP,train,Blok5,RMSE,1806.68573253608
MLP,train,Blok5,MAPE,0.259897750864029
MLP,train,Blok5,RMSPE,0.399095245071717
MLP,test,Blok5,R2,0.228968534584355
MLP,test,Blok5,MAE,1490.34664509914
MLP,test,Blok5,RMSE,1880.62023016073
MLP,test,Blok5,MAPE,0.2743020730977
MLP,test,Blok5,RMSPE,0.431771957578603
